Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,24.754999,25.472500,22.875000,23.900000,21.951824,3117990800
2016-07-01,23.872499,26.137501,23.592501,26.052500,23.928873,2743118400
2016-08-01,26.102501,27.557501,26.000000,26.525000,24.362860,2520514000
2016-09-01,26.535000,29.045000,25.632500,28.262501,26.099348,3872062400
2016-10-01,28.177500,29.672501,28.070000,28.385000,26.212473,2747657200
2016-11-01,28.365000,28.442499,26.020000,27.629999,25.515261,2886220000
2016-12-01,27.592501,29.504999,27.062500,28.955000,26.876133,2435086800
2017-01-01,28.950001,30.610001,28.690001,30.337500,28.159374,2252488000
2017-02-01,31.757500,34.369999,31.752501,34.247501,31.788660,2299874400
2017-03-01,34.472500,36.125000,34.262501,35.915001,33.480961,2246513600
2017-04-01,35.927502,36.365002,35.014999,35.912498,33.478630,1493216400
2017-05-01,36.275002,39.162498,36.067501,38.189999,35.601784,2615927200
2017-06-01,38.292500,38.994999,35.549999,36.005001,33.703403,2736712400
2017-07-01,36.220001,38.497501,35.602501,37.182499,34.805626,1688047600
2017-08-01,37.275002,41.130001,37.102501,41.000000,38.379101,2644276000
2017-09-01,41.200001,41.235001,37.290001,38.529999,36.208633,2721496400
2017-10-01,38.564999,42.412498,38.115002,42.259998,39.713905,2017165200
2017-11-01,42.467499,44.060001,41.320000,42.962502,40.374073,2402653600
2017-12-01,42.487499,44.299999,41.615002,42.307499,39.901459,2124735200
2018-01-01,42.540001,45.025002,41.174999,41.857498,39.477051,2638717600
2018-02-01,41.792500,45.154999,37.560001,44.529999,41.997570,3711577200
2018-03-01,44.634998,45.875000,41.235001,41.945000,39.720871,2854910800
2018-04-01,41.660000,44.735001,40.157501,41.314999,39.124283,2664617200
2018-05-01,41.602501,47.592499,41.317501,46.717499,44.240311,2483905200
2018-06-01,46.997501,48.549999,45.182499,46.277500,43.992630,2110498000
2018-07-01,45.955002,48.990002,45.855000,47.572498,45.223682,1574765600
2018-08-01,49.782501,57.217499,49.327499,56.907501,54.097786,2801275600
2018-09-01,57.102501,57.417500,53.825001,56.435001,53.836765,2715888000
2018-10-01,56.987499,58.367500,51.522499,54.715000,52.195961,3158994000
2018-11-01,54.762501,55.590000,42.564999,44.645000,42.589573,3845305600
2018-12-01,46.115002,46.235001,36.647499,39.435001,37.750702,3595690000
2019-01-01,38.722500,42.250000,35.500000,41.610001,39.832817,3312349600
2019-02-01,41.740002,43.967499,41.482498,43.287498,41.438660,1890162400
2019-03-01,43.570000,49.422501,42.375000,47.487499,45.654243,2603925600
2019-04-01,47.910000,52.119999,47.095001,50.167500,48.230778,2024470800
2019-05-01,52.470001,53.827499,43.747501,43.767502,42.077858,2957826400
2019-06-01,43.900002,50.392502,42.567501,49.480000,47.753010,2060874800
2019-07-01,50.792500,55.342499,49.602501,53.259998,51.401077,1895406800
2019-08-01,53.474998,54.507500,48.145000,52.185001,50.363602,2724326400
2019-09-01,51.607498,56.605000,51.055000,55.992500,54.243523,2170268400
2019-10-01,56.267502,62.437500,53.782501,62.189999,60.247440,2433210800
2019-11-01,62.384998,67.000000,62.290001,66.812500,64.725563,1793326000
2019-12-01,66.817497,73.492500,64.072502,73.412498,71.332893,2388794800
2020-01-01,74.059998,81.962502,73.187500,77.377502,75.185593,2934370400
2020-02-01,76.074997,81.805000,64.092499,68.339996,66.404091,3019279200
2020-03-01,70.570000,76.000000,53.152500,63.572498,61.918262,6280072400
2020-04-01,61.625000,73.632500,59.224998,73.449997,71.538742,3265299200
2020-05-01,71.562500,81.059998,71.462502,79.485001,77.416695,2805936000
2020-06-01,79.437500,93.095001,79.302498,91.199997,89.067291,3243375600
2020-07-01,91.279999,106.415001,89.144997,106.260002,103.775116,3020283200
2020-08-01,108.199997,131.000000,107.892502,129.039993,126.022415,4070061100
2020-09-01,132.759995,137.979996,103.099998,115.809998,113.305717,3885245100
2020-10-01,117.639999,125.389999,107.720001,108.860001,106.506004,2894666500
2020-11-01,109.110001,121.989998,107.320000,119.050003,116.475677,2123077300
2020-12-01,121.010002,138.789993,120.010002,132.690002,130.044708,2322189600
2021-01-01,133.520004,145.089996,126.379997,131.960007,129.329239,2240262000
2021-02-01,133.750000,137.880005,118.389999,121.260002,118.842552,1833855600
2021-03-01,123.750000,128.720001,116.209999,122.150002,119.893707,2650418200
2021-04-01,123.660004,137.070007,122.489998,131.460007,129.031738,1889857500
2021-05-01,132.039993,134.070007,122.250000,124.610001,122.308266,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,134.658478,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,143.408890,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,149.278595,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,139.330612,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,147.503387,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,162.765747,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,175.102844,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,172.351578,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,162.825821,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,172.403320,2180800100
2022-04-01,174.029999,178.490005,155.380005,157.649994,155.657639,1687795600
2022-05-01,156.710007,166.479996,132.610001,148.839996,146.959000,2401040300
2022-06-01,149.899994,151.740005,129.039993,136.720001,135.190521,1749099800
2022-07-01,136.039993,163.630005,135.660004,162.509995,160.691956,1447125400
2022-08-01,161.009995,176.149994,157.139999,157.220001,155.461151,1510239600
2022-09-01,156.639999,164.259995,138.000000,138.199997,136.843750,2084722800
2022-10-01,138.210007,157.500000,134.369995,153.339996,151.835190,1868139700
2022-11-01,155.080002,155.449997,134.380005,148.029999,146.577286,1724847700
2022-12-01,148.210007,150.919998,125.870003,129.929993,128.868317,1675731200
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.110977,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.205505,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,163.802307,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.550491,969709700
2023-05-01,169.279999,179.350006,164.309998,177.250000,176.070114,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,192.945297,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.412201,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,186.877548,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.535538,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.097275,1172719600
2023-11-01,171.000000,192.929993,170.119995,189.949997,189.201691,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.024185,1062774800
2024-01-01,187.149994,196.380005,180.169998,184.399994,183.915543,1187219300
2024-02-01,183.990005,191.050003,179.250000,180.750000,180.275131,1161627000
2024-03-01,179.550003,180.529999,168.490005,171.479996,171.247726,1432782800
2024-04-01,171.190002,178.360001,164.080002,170.330002,170.099289,1245717000
2024-05-01,169.580002,193.000000,169.110001,192.250000,191.989594,1336537700
2024-06-01,192.899994,220.199997,192.149994,210.619995,210.619995,1723984500
2024-07-01,212.089996,237.229996,211.919998,222.080002,222.080002,1153099800
2024-08-01,224.369995,225.600006,196.000000,209.270004,209.270004,287436700
2024-08-06,205.389999,209.979996,201.070007,207.229996,207.229996,69353188
